table_name,field_name,ordinal_mosaic,data_type_mosaic,size_text_mosaic,full_type_mosaic,max_length_mosaic,numeric_precision_mosaic,numeric_scale_mosaic,is_nullable_mosaic,raw_duplicate_row_count_mosaic,has_duplicate_rows_in_source_mosaic,has_within_source_type_conflict_mosaic,has_within_source_size_conflict_mosaic,has_within_source_nullable_conflict_mosaic,has_within_source_ordinal_conflict_mosaic,present_mosaic,ordinal_systemc,data_type_systemc,size_text_systemc,full_type_systemc,max_length_systemc,numeric_precision_systemc,numeric_scale_systemc,is_nullable_systemc,raw_duplicate_row_count_systemc,has_duplicate_rows_in_source_systemc,has_within_source_type_conflict_systemc,has_within_source_size_conflict_systemc,has_within_source_nullable_conflict_systemc,has_within_source_ordinal_conflict_systemc,present_systemc,ordinal_eclipse,data_type_eclipse,size_text_eclipse,full_type_eclipse,max_length_eclipse,numeric_precision_eclipse,numeric_scale_eclipse,is_nullable_eclipse,raw_duplicate_row_count_eclipse,has_duplicate_rows_in_source_eclipse,has_within_source_type_conflict_eclipse,has_within_source_size_conflict_eclipse,has_within_source_nullable_conflict_eclipse,has_within_source_ordinal_conflict_eclipse,present_eclipse,present_in_sources,present_in_all_3,same_field_presence_all_3,same_data_type_where_present,same_size_text_where_present,same_full_type_where_present,same_nullable_where_present,same_ordinal_where_present
ssd_address,addr_address_end_date,6,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,5,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,5,timestamp,,timestamp,,,,true,2.0,True,True,False,False,False,True,3,True,True,False,True,False,True,False
ssd_address,addr_address_json,2,varchar,1000,varchar(1000),1000.0,,,,1.0,False,False,False,False,False,True,7,nvarchar,1000,nvarchar(1000),1000,,,,2.0,True,False,False,False,False,True,7,varchar,1000.0,varchar(1000),1000.0,,,true,2.0,True,True,False,False,False,True,3,True,True,False,False,False,True,False
ssd_address,addr_address_postcode,7,varchar,15,varchar(15),15.0,,,,1.0,False,False,False,False,False,True,6,nvarchar,15,nvarchar(15),15,,,,2.0,True,False,False,False,False,True,6,varchar,15.0,varchar(15),15.0,,,true,2.0,True,True,False,False,False,True,3,True,True,False,False,False,True,False
ssd_address,addr_address_start_date,5,datetime,,datetime,,,,,1.0,False,False,False,False,False,True,4,datetime,,datetime,,,,,2.0,True,False,False,False,False,True,4,timestamp,,timestamp,,,,true,2.0,True,True,False,False,False,True,3,True,True,False,True,False,True,False
ssd_address,addr_address_type,4,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,3,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,3,varchar,48.0,varchar(48),48.0,,,true,2.0,True,True,False,False,False,True,3,True,True,False,False,False,True,False
ssd_address,addr_person_id,3,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,true,2.0,True,True,False,False,False,True,3,True,True,False,False,False,True,False
ssd_address,addr_table_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,1,nvarchar,48,nvarchar(48),48,,,,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,false,2.0,True,True,False,False,False,True,3,True,True,False,False,False,True,True
ssd_assessment_factors,cinf_assessment_factors_json,3,varchar,1000,varchar(1000),1000.0,,,,1.0,False,False,False,False,False,True,3,nvarchar,max,nvarchar(max),max,,,true,2.0,True,False,False,False,False,True,3,text,,text,,,,true,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_assessment_factors,cinf_assessment_id,2,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,2,nvarchar,48,nvarchar(48),48,,,false,2.0,True,False,False,False,False,True,2,varchar,48.0,varchar(48),48.0,,,false,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
ssd_assessment_factors,cinf_table_id,1,varchar,48,varchar(48),48.0,,,,1.0,False,False,False,False,False,True,1,nvarchar,48,nvarchar(48),48,,,false,2.0,True,False,False,False,False,True,1,varchar,48.0,varchar(48),48.0,,,false,1.0,False,False,False,False,False,True,3,True,True,False,False,False,True,True
